performance_id,Team_Id,matches,win,loss,tie,no_result,points,nrr,for,against,Season_Id,rank
1,1,10,9,1,0,0,18,1.253,1792/194.5,1589/200.0,7,1
2,2,10,6,4,0,0,12,0.765,1764/197.0,1631/199.1,7,2
3,3,10,6,4,0,0,12,-0.34,1749/199.4,1782/195.5,7,3
4,4,10,4,6,0,0,8,-0.069,1763/195.5,1787/197.0,7,4
5,6,10,4,6,0,0,8,-0.708,1665/194.5,1826/197.2,7,5
6,7,10,1,9,0,0,2,-0.891,1500/200.0,1618/192.5,7,6
7,4,10,8,2,0,0,16,0.859,1643/183.3,1596/197.1,6,1
8,1,10,5,5,0,0,10,1.05,1695/192.5,1521/196.3,6,2
9,3,10,5,5,0,0,10,0.586,1713/186.4,1671/194.3,6,3
10,7,10,5,5,0,0,10,-0.115,1711/192.1,1697/188.1,6,4
11,2,10,5,5,0,0,10,-0.589,1504/196.1,1621/196.2,6,5
12,6,10,2,8,0,0,4,-1.786,1491/200.0,1651/178.4,6,6
13,1,10,6,2,0,2,14,1.031,1249/137.4,1162/144.3,5,1
14,7,10,5,4,0,1,11,-0.19,1455/173.2,1498/174.3,5,2
15,2,10,5,5,0,0,10,-0.072,1592/181.4,1636/185.1,5,3
16,3,10,4,5,0,1,9,-0.055,1343/154.3,1302/148.5,5,4
17,6,10,4,5,0,1,9,-0.722,1399/168.3,1492/165.2,5,5
18,4,10,3,6,0,1,7,0.185,1389/154.3,1337/151.5,5,6
19,3,10,7,3,0,0,14,0.828,1527/189.0,1431/197.2,4,1
20,6,10,7,3,0,0,14,0.376,1580/193.1,1523/195.1,4,2
21,4,10,5,5,0,0,10,0.127,1605/194.5,1583/195.1,4,3
22,7,10,5,5,0,0,10,-0.673,1493/197.1,1612/195.3,4,4
23,1,10,3,7,0,0,6,0.173,1481/189.2,1498/195.5,4,5
24,2,10,3,7,0,0,6,-0.837,1427/196.3,1466/181.0,4,6
25,4,10,7,3,0,0,14,0.296,1474/191.0,1441/194.1,3,1
26,7,10,5,4,0,1,11,0.028,1322/176.4,1322/177.2,3,2
27,3,10,5,5,0,0,10,0.464,1539/191.2,1502/198.1,3,3
28,6,10,5,5,0,0,10,0.312,1438/190.2,1410/194.4,3,4
29,1,10,4,5,0,1,9,-0.191,1278/175.5,1314/176.1,3,5
30,2,10,3,7,0,0,6,-0.931,1407/198.4,1469/183.2,3,6
31,3,8,4,3,0,1,9,0.309,948/132.5,940/137.4,2,1
32,6,8,4,3,0,1,9,0.166,1096/137.0,1085/138.3,2,2
33,7,8,4,4,0,0,8,-0.098,1137/144.3,1126/141.2,2,3
34,4,8,4,4,0,0,8,-0.139,1119/141.3,1128/140.1,2,4
35,2,8,3,5,0,0,6,-0.223,1176/157.4,1197/155.5,2,5
36,3,8,6,2,0,0,12,0.573,1181/151.4,1153/159.5,1,1
37,6,8,6,2,0,0,12,0.216,1132/148.1,1178/158.4,1,2
38,4,8,4,4,0,0,8,-0.282,1101/153.4,1122/150.4,1,3
39,7,8,2,6,0,0,4,-0.036,1171/155.5,1159/153.3,1,4
40,2,8,2,6,0,0,4,-0.536,1268/160.0,1241/146.4,1,5
